req,class,keyword-machine,word,score, tfidf,total,keyword-expert,similarity(0/1)
1,Efficiency,deadline,associate,1.281397222,28.34513126,36.32137245,,0
,,,deadline,1.281397222,120.0474549,153.8284752,deadline,1
,,,job,1.095955556,33.61305372,36.83841298,,0
2,Suitability,unit,cost,1.281397222,47.87416146,61.3458175,,0
,,,unit,1.281397222,73.99369728,94.81531814,unit,1
,,,cluster,1.095955556,73.99369728,81.09380365,,0
3,Suitability,status,monitor,1.081458333,35.0135801,37.86572797,,0
,,,status,1.081458333,431.4444381,466.5891828,,0
,,,submit,1.081458333,73.99369728,80.02110052,submit,0
4,Suitability,user,user,1,156.8860847,156.8860847,,0
,,,cancel,1,12.82058027,12.82058027,cancel,0
,,,job,1,33.61305372,33.61305372,,0
5,Suitability,credit,user,1,156.8860847,156.8860847,,0
,,,check,1,11.91510665,11.91510665,check,0
,,,credit,1,211.3450884,211.3450884,,0
6,Suitability,usage,user,1,156.8860847,156.8860847,,0
,,,check,1,11.91510665,11.91510665,check,0
,,,usage,1,160.518317,160.518317,,0
7,Suitability,status,user,1,156.8860847,156.8860847,,0
,,,check,1,11.91510665,11.91510665,check,0
,,,status,1,431.4444381,431.4444381,,0
8,Suitability,usage,usage,1.190045833,160.518317,191.0241543,usage,1
,,,pattern,1.190045833,43.51038517,51.77935256,pattern,0
,,,history,1.004497917,39.62448556,39.80271321,history,0
9,Suitability,status,check,1.081458333,11.91510665,12.88569138,check,0
,,,status,1.081458333,431.4444381,466.5891828,,0
,,,submit,1.081458333,73.99369728,80.02110052,,0
10,Suitability,user,user,1,156.8860847,156.8860847,,0
,,,check,1,11.91510665,11.91510665,check,0
,,,load,1,120.0474549,120.0474549,,0
11,Suitability,alters,user,1,156.8860847,156.8860847,,0
,,,alters,1,193.5916162,193.5916162,alters,1
,,,structure,1,73.99369728,73.99369728,,0
12,Suitability,alters,user,1,156.8860847,156.8860847,,0
,,,alters,1,193.5916162,193.5916162,alters,1
,,,policy,1,17.11295846,17.11295846,,0
13,Suitability,user,user,1,156.8860847,156.8860847,,0
,,,photo,1,15.58394709,15.58394709,photo,0
,,,student,1,73.99369728,73.99369728,,0
14,Reliability,development,process,1.360364583,58.15576649,79.11304502,process,0
,,,rup,1.016822917,73.99369728,75.23848711,,0
,,,development,0.81140625,266.4736792,216.2184087,,0
15,Reliability,waterfall,waterfall,1,60.67254583,60.67254583,,0
,,,process,1,58.15576649,58.15576649,process,0
,,,model,1,40.26550543,40.26550543,,0
16,Efficiency,routine,product,1.281397222,137.8049436,176.582872,,0
,,,routine,1.281397222,147.9873946,189.6306363,routine,1
,,,scheduler,1.095955556,147.9873946,162.1876073,,0
17,Efficiency,logic,presentation,1.318702778,26.43151152,34.85530766,,0
,,,deal,1.138691667,42.01656703,47.84391475,deal,0
,,,logic,1.138691667,130.1131422,148.1587508,,0
18,Suitability,user,user,1.081458333,156.8860847,169.6657636,,0
,,,profile,1.081458333,38.09460225,41.19772504,,0
,,,ride,1.081458333,38.09460225,41.19772504,ride,0
19,Reliability,runtime,runtime,1,338.0304191,338.0304191,runtime,1
,,,pattern,1,43.51038517,43.51038517,,0
20,Compability,development,development,1,266.4736792,266.4736792,,0
,,,application,1,97.52210332,97.52210332,,0
,,,server,1,45.5863423,45.5863423,server,0
21,Portability,application,application,1.197447917,97.52210332,116.7776395,,0
,,,server,0.934184028,45.5863423,42.58603288,server,0
,,,cluster,0.934184028,73.99369728,69.12373017,,0
22,Efficiency,application,server,1.271444898,45.5863423,57.96052234,,0
,,,application,0.961429082,97.52210332,93.76058627,application,1
,,,ibm,0.961429082,33.61305372,32.31656738,,0
23,Compability,server,server,1.457465278,45.5863423,66.44051106,server,1
,,,ibm,1.031284722,33.61305372,34.66462876,,0
,,,mysql,0.876631944,24.87372121,21.80509857,,0
24,Reliability,redundancy,server,1.49082585,45.5863423,67.96129751,,0
,,,redundancy,1.117190136,73.99369728,82.66502873,redundancy,1
,,,mirroring,1.117190136,34.91208155,39.00343314,,0
25,Compability,linux,use,1.318702778,156.8860847,206.8861157,use,0
,,,linux,1.138691667,188.6430897,214.8063143,,0
,,,eclipse,1.138691667,27.82386132,31.68279903,,0
26,Suitability,administrator,administrator,1.081458333,179.0193458,193.6019633,administrator,1
,,,student,1.081458333,73.99369728,80.02110052,,0
,,,account,1.081458333,156.2683486,168.9977078,,0
27,Security,student,force,1.190045833,37.77356571,44.95227447,,0
,,,password,1.190045833,53.6066264,63.79434237,password,0
,,,student,1.004497917,73.99369728,74.32651479,,0
28,Suitability,system,system,1,323.1770468,323.1770468,system,1
,,,administrator,1,179.0193458,179.0193458,,0
,,,student,1,73.99369728,73.99369728,,0
29,Suitability,system,system,1.190045833,323.1770468,384.5954978,,0
,,,fill,1.190045833,30.75079371,36.59485392,fill,0
,,,detail,1.004497917,27.24866237,27.3712246,,0
30,Suitability,telephone,detail,1.190045833,27.24866237,32.42715711,detail,0
,,,information,1.190045833,81.92947165,97.49982634,,0
,,,telephone,1.004497917,136.1647972,136.7772552,,0
31,Security,time,login,1.190045833,260.2262844,309.6812054,,0
,,,time,1.190045833,338.0304191,402.2716917,,0
,,,security,1.004497917,73.99369728,74.32651479,security,0
32,Security,student,student,1,73.99369728,73.99369728,,0
,,,request,1,73.99369728,73.99369728,request,0
,,,heshe,1,21.756146,21.756146,,0
33,Suitability,staff,staff,1,276.4840915,276.4840915,,0
,,,view,1,19.82662358,19.82662358,,0
,,,detail,1,27.24866237,27.24866237,detail,0
34,Suitability,change,unit,1.296762153,73.99369728,95.9522262,,0
,,,cohort,1.164645337,57.5590954,67.03593206,,0
,,,change,1.065183532,138.783022,147.8293895,change,1
35,Suitability,change,change,1.318702778,138.783022,183.0135566,change,1
,,,coordinator,1.138691667,28.7795477,32.77103115,,0
,,,student,1.138691667,73.99369728,84.25600651,,0
36,Suitability,student,view,1.281397222,19.82662358,25.40578038,view,0
,,,student,1.281397222,73.99369728,94.81531814,,0
,,,coordinator,1.095955556,28.7795477,31.5411052,,0
37,Suitability,list,list,1.281397222,173.9637576,222.9166757,list,1
,,,employee,1.281397222,32.56856524,41.73326902,,0
,,,coordinator,1.095955556,28.7795477,31.5411052,,0
38,Security,reset,coordinator,1.190045833,28.7795477,34.24898082,,0
,,,reset,1.190045833,164.7100137,196.0124654,reset,1
,,,student,1.004497917,73.99369728,74.32651479,,0
39,Reliability,course,mail,1.190045833,29.64153591,35.27478629,,0
,,,server,1.190045833,45.5863423,54.2498367,server,0
,,,course,1.004497917,73.99369728,74.32651479,,0
40,Security,system,system,1,323.1770468,323.1770468,system,1
,,,administrator,1,179.0193458,179.0193458,,0
,,,student,1,73.99369728,73.99369728,,0
41,Reliability,staff,administration,1,120.0474549,120.0474549,,0
,,,staff,1,276.4840915,276.4840915,,0
,,,accounting,1,156.2683486,156.2683486,accounting,0
42,Suitability,staff,administration,1,120.0474549,120.0474549,administration,0
,,,staff,1,276.4840915,276.4840915,,0
,,,school,1,20.76054634,20.76054634,,0
43,Reliability,analysis,requirement,1.447174769,83.20430411,120.4111696,,0
,,,analysis,1.276387731,124.9943742,159.5412856,analysis,1
,,,engineering,1.102,53.89679863,59.39427209,,0
44,Reliability,waterfall,waterfall,1,60.67254583,60.67254583,,0
,,,process,1,58.15576649,58.15576649,process,0
,,,model,1,40.26550543,40.26550543,,0
45,Efficiency,subphase,team,1.244351389,46.0483875,57.30037495,,0
,,,subphase,1.078695833,137.8049436,148.6496185,subphase,1
,,,member,1.074540278,120.6088294,129.599045,,0
46,Suitability,phone,phone,1.213798611,136.1647972,165.2766417,,0
,,,mitigate,1.213798611,59.18896906,71.84348843,mitigate,0
,,,cell,1.206715278,59.18896906,71.42423326,,0
47,Suitability,developer,user,1.081458333,156.8860847,169.6657636,,0
,,,developer,1.081458333,799.5713874,864.7031397,,0
,,,requirement,1.081458333,83.20430411,89.98198802,requirement,0
48,Maintainability,scope,scope,1.574505556,165.0275116,259.8367339,,0
,,,creep,1.574505556,165.0275116,259.8367339,,0
,,,project,0.981394444,44.93433103,44.09830281,project,0
49,Reliability,design,design,1.040611111,50.88959366,52.9562766,,0
,,,pattern,1.040611111,43.51038517,45.27739025,,0
,,,mvc,1.040611111,23.4958613,24.45005433,mvc,0
50,Maintainability,application,web,1.281397222,33.61305372,43.07167366,,0
,,,application,1.281397222,97.52210332,124.9645523,application,1
,,,patter,1.095955556,28.5143885,31.2505025,,0
51,Suitability,administrator,administrator,1,179.0193458,179.0193458,administrator,1
,,,client,1,20.71888194,20.71888194,,0
,,,space,1,46.19011436,46.19011436,,0
52,Suitability,administrator,client,1.273511111,20.71888194,26.38572635,,0
,,,administrator,0.863244444,179.0193458,154.5374556,,0
,,,role,0.863244444,18.48937432,15.96084965,role,0
53,Maintainability,administrator,administrator,1,179.0193458,179.0193458,,0
,,,access,1,89.02469449,89.02469449,,0
,,,document,1,73.99369728,73.99369728,document,0
54,Suitability,administrator,client,1,20.71888194,20.71888194,,0
,,,administrator,1,179.0193458,179.0193458,,0
,,,view,1,19.82662358,19.82662358,view,0
55,Suitability,administrator,administrator,1.081458333,179.0193458,193.6019633,administrator,1
,,,read,1.081458333,120.0474549,129.8263204,read,0
,,,content,1.081458333,23.97840082,25.93164138,content,0
56,Maintainability,administrator,client,1,20.71888194,20.71888194,client,0
,,,administrator,1,179.0193458,179.0193458,,0
57,Maintainability,time,user,1,156.8860847,156.8860847,user,0
,,,role,1,18.48937432,18.48937432,,0
,,,time,1,338.0304191,338.0304191,,0
58,Maintainability,person,user,1,156.8860847,156.8860847,user,0
,,,person,1,799.5713874,799.5713874,,0
,,,role,1,18.48937432,18.48937432,,0
59,Maintainability,access,server,1.318702778,45.5863423,60.11483624,,0
,,,client,1.138691667,20.71888194,23.59241821,client,0
,,,access,1.138691667,89.02469449,101.3716778,,0
60,Maintainability,access,access,1.081458333,89.02469449,96.2764977,,0
,,,document,1.081458333,73.99369728,80.02110052,document,0
,,,space,1.081458333,46.19011436,49.95268408,,0
61,Usability,user,user,1,156.8860847,156.8860847,,0
,,,view,1,19.82662358,19.82662358,view,0
,,,role,1,18.48937432,18.48937432,,0
62,Maintainability,role,role,1,18.48937432,18.48937432,role,1
63,Maintainability,role,role,1.122777778,18.48937432,20.75945861,,0
,,,inherits,0.877222222,18.89416544,16.57438179,,0
64,Maintainability,person,role,1.122777778,18.48937432,20.75945861,role,0
,,,person,0.877222222,799.5713874,701.4017891,,0
65,Maintainability,document,role,1,18.48937432,18.48937432,,0
,,,document,1,73.99369728,73.99369728,document,1
,,,sda,1,16.93087279,16.93087279,,0
66,Maintainability,right,role,1,18.48937432,18.48937432,role,0
,,,right,1,20.32465531,20.32465531,,0
67,Maintainability,administrator,administrator,1,179.0193458,179.0193458,,0
,,,limit,1,166.9510076,166.9510076,,0
,,,client,1,20.71888194,20.71888194,client,0
68,Maintainability,document,role,1.273511111,18.48937432,23.54642363,role,0
,,,canï¿½t,0.863244444,18.57636486,16.03594376,,0
,,,document,0.863244444,73.99369728,63.87464807,,0
69,Usability,time,role,1.250702778,18.48937432,23.12471182,,0
,,,time,1.086511111,338.0304191,367.2738062,,0
,,,delegate,1.086511111,289.7069777,314.7698502,delegate,0
70,Usability,expiration,log,1.081458333,130.1131422,140.7119419,,0
,,,assignment,1.081458333,22.60553756,24.44694697,assignment,0
,,,expiration,1.081458333,188.6430897,204.0096413,,0
71,Maintainability,delegation,delegation,1.284372222,289.7069777,372.0915946,,0
,,,expiration,1.058272222,188.6430897,199.6357417,,0
,,,role,0.828677778,18.48937432,15.32173362,role,0
72,Usability,roleright,role,1.273511111,18.48937432,23.54642363,,0
,,,assign,0.863244444,19.12365066,16.50838518,assign,0
,,,roleright,0.863244444,34.0519185,29.39512946,,0
73,Suitability,role,role,1,18.48937432,18.48937432,role,1
74,Suitability,role,role,1,18.48937432,18.48937432,role,1
75,Suitability,read,role,1.273511111,18.48937432,23.54642363,,0
,,,read,0.863244444,120.0474549,103.6302984,read,1
,,,view,0.863244444,19.82662358,17.11522265,,0
76,Suitability,update,role,1.122777778,18.48937432,20.75945861,,0
,,,update,0.877222222,73.99369728,64.90891554,update,1
77,Suitability,role,role,1,18.48937432,18.48937432,role,1
78,Suitability,role,role,1,18.48937432,18.48937432,role,1
79,Suitability,person,role,1.273511111,18.48937432,23.54642363,role,0
,,,couple,0.863244444,73.99369728,63.87464807,,0
,,,person,0.863244444,799.5713874,690.2255577,,0
80,Suitability,person,role,1.122777778,18.48937432,20.75945861,role,0
,,,person,0.877222222,799.5713874,701.4017891,,1
81,Suitability,document,document,1.085885417,73.99369728,80.34867683,,0
,,,role,1.051354167,18.48937432,19.43888073,,0
,,,assign,0.862760417,19.12365066,16.49912882,assign,0
82,Suitability,document,role,1,18.48937432,18.48937432,role,0
,,,document,1,73.99369728,73.99369728,,1
83,Suitability,document,role,1.2080375,18.48937432,22.33585752,role,0
,,,file,1.039170833,18.17202298,18.88383625,,0
,,,document,1.039170833,73.99369728,76.89209204,,0
84,Suitability,document,role,1.2080375,18.48937432,22.33585752,role,0
,,,file,1.039170833,18.17202298,18.88383625,,0
,,,document,1.039170833,73.99369728,76.89209204,,0
85,Usability,update,role,1.0741625,18.48937432,19.86059254,,0
,,,update,1.0741625,73.99369728,79.48125486,update,1
,,,file,1.0741625,18.17202298,19.51970563,,0
86,Usability,document,role,1.244375,18.48937432,23.00771516,role,0
,,,file,0.918541667,18.17202298,16.69176028,,0
,,,document,0.918541667,73.99369728,67.96629405,,0
87,Security,document,document,1,73.99369728,73.99369728,,0
,,,sda,1,16.93087279,16.93087279,,0
